1492 137 63
927 120 991 130
604 66 1232 94
241 36 1315 123
535 14 1379 72
999 42 1007 120
1322 60 1486 76
269 18 1005 88
39 1 1246 37
477 57 1125 136
347 3 1055 118
117 11 345 104
470 23 1355 42
80 45 300 63
1144 84 1458 104
453 83 537 102
656 46 837 74
62 42 760 128
141 30 786 67
511 18 1021 76
1269 18 1441 67
169 37 1338 72
107 60 1468 93
95 12 1074 131
511 46 1483 131
1123 60 1207 75
227 75 618 131
822 2 1328 20
203 40 1111 83
165 8 910 55
58 25 238 36
59 36 987 136
527 104 586 123
1053 68 1237 134
1189 11 1420 61
498 79 1232 129
613 16 817 31
503 70 1051 114
596 81 1336 106
641 16 1021 93
1158 67 1398 117
756 6 1441 41
910 113 1081 125
500 38 713 81
531 75 877 121
6 41 498 125
895 29 951 128
683 37 1155 42
71 13 1403 68
938 32 1029 126
227 26 299 47
650 111 1009 122
436 21 970 121
1214 48 1478 131
532 128 1027 129
639 3 1321 127
38 90 1264 115
699 58 1283 77
198 78 1211 82
888 63 1094 87
741 31 763 42
391 21 1463 66
125 13 1355 117
888 51 953 61
