2451 3842 1260
1150 1 2166 2424
124 768 1886 3091
1247 507 2209 645
1302 2182 1483 3624
426 694 1860 1909
2347 1179 2392 3418
694 941 1446 2754
475 2377 523 3114
1398 380 1684 2415
284 2288 411 3389
1410 1106 1507 3659
953 389 1022 3258
376 2510 1991 3234
1146 913 1769 1568
120 1522 1944 2629
162 1840 639 2798
1074 3228 2016 3709
118 519 477 3326
1075 500 1710 2347
730 2612 1067 3786
802 1281 827 2931
1637 3011 1828 3571
717 303 902 2958
782 351 2326 960
697 1216 1738 3040
800 1735 1505 2834
96 3046 801 3079
156 2208 243 2833
1537 930 2172 2633
1610 194 2072 3667
785 909 919 2513
523 1252 1221 2733
785 137 910 674
1296 1730 2347 2411
437 667 1711 2152
1338 534 1979 1618
357 2102 619 2392
1550 2949 1678 3534
427 1786 703 3631
326 149 668 3193
893 239 1848 1138
1134 941 1948 1145
650 270 1844 3182
805 1941 882 2081
509 534 872 1506
365 832 1707 904
1373 977 2444 1365
1677 2585 1944 3451
1319 1141 2033 3515
683 3078 1442 3144
1808 130 2076 1350
102 91 1411 3489
607 623 1812 1543
1020 231 1980 1022
1753 188 1903 1804
80 2270 2139 2567
773 2149 1854 2845
489 3470 616 3712
124 1636 1830 2374
164 2329 1527 3235
442 1251 678 2891
1124 123 1509 2116
311 3565 1821 3811
862 1256 1546 2854
917 217 2428 3498
1157 3275 2181 3300
151 331 774 1058
1670 235 2015 250
861 204 2043 2200
169 1779 1357 3345
575 75 2367 3421
479 3168 1771 3369
1128 1494 1251 2968
273 1530 306 2410
283 167 1232 3177
962 1163 1317 1694
1286 1780 2174 3290
200 819 2227 2513
497 79 2254 2461
1883 2262 1958 2549
395 283 1569 530
391 2432 2195 3710
987 2674 2055 3698
1030 356 1655 2899
389 455 2125 1258
219 2322 2447 3821
875 1408 1177 1512
1505 1384 1814 2258
544 687 772 3799
98 1840 373 2317
602 1794 861 3566
1495 405 2124 2231
404 2629 2063 3608
312 407 562 971
132 620 2061 1159
555 24 2125 1703
1113 728 2212 2483
109 1370 618 3272
1565 2355 1746 2814
962 1813 1102 3252
716 870 846 2703
1857 3061 2315 3806
111 187 759 1470
618 1701 2324 3549
258 2173 1252 2220
230 444 275 3261
1246 765 1734 3353
969 867 1626 925
1724 446 1935 3683
1158 439 1907 1318
1066 312 1142 2289
1197 1143 2228 2199
175 58 612 3308
1068 1995 2128 2372
197 1997 585 2718
199 1470 354 1749
167 2003 2194 2753
62 279 1713 1967
1806 1881 2440 3839
1364 189 1823 1997
944 178 2224 2640
1102 614 1912 2243
2277 1206 2436 2661
1416 1705 1971 2122
572 20 2009 2022
429 483 1402 2702
978 1448 1780 2601
637 838 1658 1606
744 1414 968 1670
1846 196 2294 320
257 390 982 1654
322 143 1134 256
85 326 1427 2160
187 955 927 2497
205 136 243 3490
795 1770 1686 3396
370 598 1527 2270
756 523 966 2764
1204 202 2299 1754
44 187 362 2952
1549 3170 1644 3206
973 278 1758 789
1199 2364 1942 2477
142 976 2111 3639
663 1424 2158 3231
1261 2967 1862 3066
1128 1564 2200 2385
751 1409 2430 2008
1483 2081 1752 3230
708 1003 2132 1998
152 3197 559 3645
878 119 1349 3608
7 1364 1344 2083
1309 1186 1507 2386
50 77 830 3300
755 1741 1434 3637
158 482 2199 730
96 859 2046 3170
70 185 1365 2215
55 403 1749 547
1083 2585 1984 2923
