4000 4000 4000
861 1316 3327 2152
911 1275 2075 3734
2233 955 2466 3583
877 1832 3859 1904
731 2413 1122 2697
675 884 1990 3528
1315 1625 1993 2166
147 1216 3929 1874
72 1042 2904 1680
733 303 1359 1406
634 685 2625 2350
2815 567 3189 1372
601 726 3192 2465
478 2383 3534 2646
1495 256 1576 1652
374 459 3707 784
2804 466 2918 1251
1058 646 2348 971
1642 1556 3351 2424
356 1361 1919 2191
2898 742 3759 2588
2162 31 2936 3313
590 110 3638 3331
2579 1593 3301 3012
1543 328 3332 1423
1992 35 2702 1611
304 2117 2528 3823
1942 132 2506 2416
1480 2689 1809 3583
2955 79 2982 547
880 460 3565 3916
2911 1325 3400 2408
1497 1 1661 3869
51 437 2852 609
2483 165 3806 1950
647 454 3092 3176
991 1887 3724 2510
2058 74 2601 2936
675 1021 1346 1954
1134 2083 3035 3699
1109 2986 1429 3713
1212 888 1263 2952
2848 1841 3603 2560
1704 2595 2729 2868
1173 3394 3758 3516
52 1283 405 3875
820 3271 1738 3624
1865 622 3755 1523
1682 1953 1781 3874
542 17 1203 3874
567 1455 1776 2453
194 288 1622 338
1985 1948 2040 3847
1802 2305 3482 3920
1336 1130 2259 2354
1064 1299 2244 2679
1304 1015 3292 1207
3010 1858 3271 3096
825 2497 2349 2795
1451 1535 3417 3961
1868 875 2456 3863
401 627 2385 3222
1066 964 2363 1918
1698 1746 3913 3269
1514 606 1692 3441
2134 3094 3285 3455
1509 450 3913 3152
2999 402 3597 3359
223 2394 3273 2486
1266 811 2133 2986
2933 1002 3342 1590
1073 3371 1824 3458
2557 259 3399 1033
2237 818 3389 2283
3717 882 3765 2673
3036 1257 3283 3506
1309 1749 3128 1977
1290 161 3566 2850
1326 2124 1732 2752
2193 707 2444 991
2245 647 3809 3241
633 3146 2250 3622
3039 2443 3061 3416
1141 1153 3778 2201
1835 643 3313 2860
607 991 2897 3592
2336 235 2631 3698
2107 696 2616 844
297 2470 1166 3044
2162 3205 2584 3741
706 211 3030 1360
837 2053 2792 3390
1776 2792 1850 3259
1435 1955 1862 3436
339 535 2924 2252
2778 569 3381 2694
1395 93 3998 2612
226 675 1516 2420
199 1908 1631 3646
903 555 2159 2484
839 366 964 3051
2648 261 3383 3004
525 143 1994 3064
97 1648 1681 3555
1001 2820 2048 3843
1276 325 2364 2011
1250 339 3252 788
542 1159 3291 3105
2893 52 3420 2411
3172 3109 3364 3910
399 652 3512 2475
1795 843 1976 1336
736 766 1876 2548
374 1599 3074 2591
1217 1582 2444 1702
2211 2089 2621 2150
1927 253 3706 3114
970 653 3789 1433
3030 263 3138 1506
1776 343 2437 1373
3236 1341 3842 3796
632 1689 3064 2093
2214 989 2666 3747
1357 624 2837 2652
1494 1692 3572 2337
1252 82 1947 837
889 531 2392 870
1258 1051 3186 1854
182 1192 440 1372
23 603 2127 2114
1857 108 2224 2578
605 2454 2747 3374
96 226 3905 3651
58 1782 2079 3930
620 1608 3717 1855
149 2135 631 2371
2313 3122 3171 3168
2676 1274 3361 1457
3042 121 3657 3578
2421 1404 3806 2168
3 927 1067 1467
865 1280 3269 1782
782 2622 3307 3655
910 1590 3506 3754
1075 1324 2915 2640
2515 786 3633 3248
2517 418 3355 826
1801 2279 3299 2949
2062 133 3779 3893
2199 1094 3968 3793
1863 545 3669 2677
2152 892 3356 3223
2887 597 3679 2250
2465 1706 2484 2326
2881 2786 3963 3466
1077 516 2876 1627
602 1152 2620 2846
2137 1332 3898 3620
3055 1273 3277 3416
2332 1446 3893 3620
982 1761 3459 2415
