4000 4000 4000
1931 263 3797 3516
1452 2002 2347 2216
2876 1369 2987 2085
860 564 1901 1083
156 1682 2919 2302
3183 2459 3690 3699
1908 1455 3549 2141
737 1066 3779 1232
699 672 3810 1772
633 2290 2578 2410
201 1436 3882 2760
59 587 2787 665
1134 411 2417 2582
1148 207 1193 1162
3562 1583 3799 2045
1333 29 1909 1397
1892 2698 3964 2703
2682 430 3995 956
1131 1691 2951 3517
2996 1041 3005 3130
18 1036 931 1597
165 2296 3863 3649
2075 2181 2432 2649
75 254 3386 779
163 1998 1165 2544
510 2133 1747 3265
2817 2490 2968 3253
1067 635 1427 1653
223 1884 224 3162
1091 182 2226 1969
976 267 3736 3678
238 2242 3526 3222
574 570 1143 3013
696 2236 1429 2906
1126 378 2648 1110
1101 1525 3070 1960
1195 1564 3479 2133
34 762 2873 2172
3479 693 3759 1088
3367 18 3851 700
2276 2192 3472 3591
760 2869 1835 3927
1704 443 2423 3689
818 1506 2763 3200
849 1372 3172 3116
1776 597 2491 2976
1114 1358 1394 2788
1523 2185 3615 2186
598 395 2926 3918
2218 461 3785 3752
1135 400 1949 3836
435 1514 3117 2798
975 534 3055 2936
2405 2414 2429 3169
1927 1079 2833 2336
859 986 1279 2753
1597 1197 3975 1629
1219 543 3508 2336
671 69 1216 655
416 2396 3649 3464
1714 1967 2705 2991
2469 715 3480 3099
2753 931 3451 3137
1374 1159 3802 2475
250 1981 3262 3427
275 454 1779 958
3031 624 3408 1815
126 1392 1277 3442
179 212 592 1185
1603 3553 1659 3961
2608 69 3856 298
393 1438 2042 1809
3036 3018 3647 3598
1094 1430 1835 2405
1506 249 2257 752
565 1524 3047 2772
332 730 3587 866
3559 2496 3648 3254
1638 949 2456 3982
1531 344 3375 1719
2215 607 2768 2259
1269 3758 2130 3856
1465 1389 2789 3106
2880 1404 3338 3153
2200 134 3875 1170
428 68 3151 3965
2561 1002 3037 1562
135 1013 272 1437
1307 1570 2315 1695
1975 1337 2070 1411
1346 148 3313 3695
1796 1482 1881 2499
714 1798 3762 1823
2937 79 3186 1202
782 952 1943 2251
