2577 2415 219
1297 18 2120 156
300 215 1160 1013
143 595 1283 2270
205 243 477 1263
1199 2279 2496 2344
1797 789 2110 2027
940 373 2255 910
785 1198 1774 1346
195 699 1102 2408
1087 550 1665 642
686 1165 894 2411
1299 896 2507 1088
418 1229 1875 2350
834 779 2441 1352
29 300 2206 2247
1033 636 2350 1145
330 448 2107 758
830 1681 1352 1776
2022 792 2291 823
2023 1017 2531 1253
1197 304 2342 1317
140 468 1181 1359
722 1428 1173 2220
628 986 977 2095
1293 24 1449 367
425 1028 947 1381
1997 1574 2421 2126
853 1468 1916 2268
1526 1277 2313 1360
516 785 2322 1775
809 775 1307 1844
1297 1744 2508 2218
2490 1337 2539 2077
2095 709 2362 1849
1690 1231 2476 2328
357 182 2424 779
932 1456 2414 1653
1684 1614 2369 2015
1699 183 2399 1840
276 1215 2061 1340
1217 1014 1828 2351
1087 289 1665 2383
804 973 1282 2252
1549 1123 2137 1444
1802 615 1826 721
597 167 669 2352
1041 286 2248 512
1507 517 1610 547
796 1121 1384 1567
284 197 1419 2381
1410 5 1877 802
280 2084 2207 2409
1560 310 2445 438
2364 101 2472 841
842 1189 1956 1679
1854 1061 2213 1534
500 395 1094 1631
293 549 2156 1099
1431 31 2364 1781
171 1190 279 2088
789 303 1936 397
497 1320 2018 2014
1500 20 1732 1412
2377 1490 2406 1979
1909 640 1939 2129
1251 705 1284 1117
2135 802 2255 1133
1376 483 1609 1325
831 370 1756 1080
255 1176 2071 2226
742 108 2549 1663
462 1147 2062 1721
936 1908 1673 1986
769 1176 2498 1601
1563 142 2373 2009
1302 88 1309 1670
16 117 662 1633
797 1319 1693 2294
1720 388 2196 2134
805 813 816 1277
679 363 1840 1903
1862 1641 2242 2392
787 1469 2009 1666
1567 601 2508 882
1931 22 2115 27
1726 1397 1913 1720
1055 931 2082 1845
998 11 2335 308
66 870 1591 1877
141 1254 2381 2354
521 728 2304 1211
663 1009 905 2100
28 1072 349 2329
1927 523 1980 1743
410 400 656 1523
1787 36 2140 2141
1859 1074 2216 2185
620 272 2184 1054
100 578 1037 1380
138 1867 527 2067
244 704 471 2000
1255 178 2009 1540
362 311 535 1462
780 472 1706 2296
2161 2018 2284 2118
655 1552 1441 2256
325 984 1770 1823
1684 520 2017 1340
436 569 1528 970
837 884 913 1244
58 1693 1679 2136
947 982 989 1655
1239 1445 2259 1550
2110 148 2571 767
1756 1528 2546 2127
333 1577 960 1969
1816 1910 1970 2336
472 400 2445 1641
694 773 1590 1126
205 1152 2158 2232
1633 1889 2085 2363
1135 2170 1744 2232
1107 738 1114 1266
485 1820 1435 2352
62 1061 1441 2321
270 486 2050 1625
735 2365 1252 2371
531 77 2166 645
1442 1296 2064 1508
1128 491 1679 1220
1320 1095 2289 1512
767 2202 2083 2307
696 1389 2311 1896
308 476 1189 1463
374 751 2158 1617
198 1461 1328 2036
380 121 2140 529
423 586 1929 992
1014 631 1163 2337
1989 464 2269 1996
743 532 2131 814
245 865 1844 2371
14 115 857 2077
117 383 2565 545
1122 1358 2368 2351
532 272 784 388
1014 18 2509 1180
973 296 1847 1968
1890 630 2532 1270
678 714 2125 1419
186 181 926 1002
1142 502 1631 909
558 1885 1847 2130
1259 1698 2307 2216
979 459 1872 679
2400 219 2471 2359
119 67 366 1217
1243 1117 1786 1638
1512 153 1605 241
354 1751 1941 1774
2114 616 2139 983
475 1223 619 1639
543 344 1065 557
583 538 2511 1521
9 1616 349 2218
620 1034 780 1558
1662 360 1835 2029
428 404 1661 1522
304 621 1644 1310
985 35 1601 1072
462 1778 849 2101
1537 724 1951 1055
401 642 1885 1166
1731 962 2386 1032
901 1 1881 1723
410 954 591 1032
69 1210 1717 1421
469 1048 980 1500
493 730 753 2316
834 1383 2225 1726
857 1451 2573 2166
364 93 2221 773
631 1222 1201 1708
1129 572 2066 961
451 648 1652 2328
222 730 411 2057
1480 302 2535 436
2109 1058 2124 1687
597 174 759 292
667 1717 1751 2372
1066 502 2025 816
11 2190 1010 2393
664 345 2548 1294
323 1019 455 1685
520 1035 2474 2034
146 1479 1213 2241
2426 952 2529 1624
481 47 1607 1101
485 288 852 1128
1162 113 2564 542
1440 381 2163 1296
1040 443 1881 1232
141 52 2062 994
1959 1569 1969 2216
1522 855 1798 902
1061 225 1503 1837
59 722 208 1893
201 341 801 2033
417 172 933 1891
1110 152 1934 429
463 119 1957 1270
241 1037 472 1159
497 423 1924 560
652 368 657 926
2139 319 2507 1270
1111 1126 2221 2210
1185 30 1406 1748
128 418 231 1850
1244 1285 2092 2125
