2348 2530 827
265 215 1303 1513
256 1753 271 2356
167 379 1900 593
799 1795 1344 2226
818 120 931 455
765 837 1294 902
972 520 2200 632
135 767 1296 957
971 1194 1838 1786
568 1428 1676 1499
1299 1366 1529 2227
681 709 1825 1226
492 1249 2104 2406
1025 1660 1707 2112
11 403 1799 2279
536 173 1355 1259
443 1022 774 2451
576 1599 1134 2492
1347 511 1954 2265
1971 372 2348 1325
525 1702 1438 2467
817 1272 2311 1376
1782 203 1840 1054
419 1706 1518 2217
580 708 1939 838
223 1725 1654 1912
99 130 168 323
1135 604 1895 2000
889 387 1623 1836
835 30 1579 253
1827 1867 1858 2391
488 968 1433 2179
950 229 1532 797
380 307 1619 1575
1080 1837 1549 1851
840 947 1951 1116
904 614 1764 1151
1774 114 2010 2510
463 21 820 726
1630 14 2202 564
65 86 1766 362
1458 2372 1757 2473
216 1547 365 2141
922 2366 1017 2478
952 265 2013 1023
351 973 1211 1769
87 602 617 1219
1418 550 1514 1695
442 657 538 662
950 1076 992 2257
893 689 2029 719
803 1207 1733 2319
742 1470 915 2485
468 265 1231 2466
220 1159 892 1319
488 1873 1549 2151
1445 961 1608 1720
444 1399 1175 2508
568 307 1167 495
187 750 1810 2359
85 392 1884 978
860 102 1634 1444
626 583 1251 1052
60 410 506 1274
208 373 1327 1814
456 89 857 1193
1564 1640 2246 2472
1369 1464 2018 1699
699 1159 1050 1828
1628 1319 1998 2452
652 249 2074 250
1763 1668 2028 2493
735 2085 944 2227
992 2005 1122 2141
1669 473 2253 2474
671 793 905 945
2104 1187 2129 2354
1451 964 1656 2198
44 20 531 1269
1025 1242 1196 1894
680 369 1210 1315
74 1727 430 2354
1572 627 2196 1278
1727 381 1809 886
1185 1421 1847 2424
995 17 1905 1559
947 276 1068 1299
497 744 2084 2519
956 618 1699 1841
60 1365 2250 2332
242 720 2158 2510
1141 1656 1329 2500
1358 57 1495 1420
1733 1455 1917 2040
423 1617 1150 1788
1261 1475 1710 1874
221 2300 2173 2397
597 1674 1078 1875
339 1044 1890 2099
1205 1514 1731 1575
1059 961 1703 1713
2001 1067 2289 1441
1444 1087 2204 1978
1054 495 1908 2043
1155 390 2328 702
173 21 2211 664
833 399 1468 1739
570 1428 2110 2042
596 294 2293 870
244 1596 1381 2081
812 111 1836 634
824 90 2030 1239
1139 2090 1472 2199
855 1248 2187 1261
110 390 1913 1517
505 332 1110 1737
104 64 1620 1683
1411 125 2161 2315
371 1353 399 1604
112 738 301 1167
741 230 1598 271
583 216 1964 656
113 566 986 1592
2310 2047 2337 2209
854 1200 1046 2341
246 285 1902 2195
1706 1180 2303 2171
659 57 1918 113
236 2445 782 2458
441 152 1586 732
385 866 559 1801
857 233 1440 2413
262 1752 1711 2002
211 1045 518 2137
1282 2029 1613 2319
731 81 1445 1264
1797 39 2106 1813
856 1012 2056 1712
415 442 886 1685
754 392 986 1852
572 475 1907 1436
268 799 275 1789
47 175 1211 2463
811 1109 1114 2053
496 778 1669 2404
1568 967 2139 2374
546 481 1094 1928
935 449 1864 2404
718 1131 888 2050
960 1136 1843 1183
1092 261 2090 1056
8 673 1337 1155
1781 1607 1810 2411
519 1198 768 2329
1474 353 1966 2289
228 1116 682 1266
761 427 1712 825
155 729 1482 2182
486 379 570 1354
1465 118 1858 2008
1746 139 2084 1914
1712 396 1852 433
725 730 837 1434
1119 65 1925 2502
1334 1398 1817 2291
307 1091 352 2497
725 65 981 1178
1389 933 1596 1157
25 121 1522 2376
2290 512 2318 2148
125 47 236 1749
364 135 1922 1049
97 1219 1742 1885
1054 490 2339 1495
317 565 1614 662
274 777 2113 1131
143 2322 1590 2517
609 961 961 1654
91 694 905 1663
992 926 2334 1429
362 256 1401 2448
128 142 1291 419
1622 1044 1843 1579
694 1346 1186 2457
392 455 2269 1685
909 1190 1060 1987
1248 810 2347 1871
1701 154 2131 1178
1467 1768 1823 2311
1304 1751 1998 1953
396 319 650 484
1838 714 2104 1951
1271 539 1281 2416
1187 653 1297 2260
1052 625 1629 1779
148 460 1294 1135
179 182 2313 2188
1143 862 1891 1371
1808 1270 1872 1308
1737 1892 2015 2093
28 228 2166 1817
344 683 1959 1184
751 1274 1605 1612
1441 160 1779 1812
2198 34 2302 1665
1956 2192 2068 2393
245 139 804 1021
1228 1571 2138 2470
127 961 1981 2215
478 1237 1563 2158
456 126 1410 540
625 170 1590 2060
