3566 1605 74
304 163 2688 525
1644 329 2990 918
159 340 1294 1488
1898 154 2000 1134
62 776 1105 1574
793 483 2503 1244
2005 401 3317 407
23 384 577 538
1916 1281 3089 1416
1572 241 2325 427
2905 1043 3044 1599
163 440 1866 1253
490 163 3293 1234
1535 293 3478 1409
2086 953 3139 1047
2601 60 3257 1462
262 115 2962 947
1220 299 2930 376
194 716 634 1353
1794 385 2989 1327
2929 437 3052 960
1422 294 3458 313
818 608 1900 984
1045 105 1920 411
1763 714 2344 1275
1087 296 2316 1345
1174 53 1612 643
643 374 3186 751
3305 527 3360 1143
81 21 415 369
2361 699 3016 1072
288 490 726 529
1512 354 2556 978
2917 191 3141 1141
253 477 1642 575
1235 992 3282 1346
1306 562 1607 1156
460 465 1186 1569
1022 911 3488 1195
1306 54 3049 1091
1844 3 1910 229
1482 83 2756 1086
2670 695 2894 1423
1278 430 2879 750
617 50 1392 502
118 680 758 1277
1225 596 1659 820
1988 341 3503 766
1743 808 2896 1340
1428 527 2653 529
665 824 2609 966
454 280 1097 428
492 405 1117 1436
1661 473 3409 670
892 607 2284 672
1053 997 1501 1570
379 149 769 376
350 458 2092 1467
1205 353 3223 540
865 85 2759 1260
1056 143 2302 284
1421 330 1941 1077
922 610 2827 795
244 305 2066 1236
255 447 3544 1032
492 763 2149 956
3 1062 754 1523
1147 76 2229 1257
1663 165 3253 220
1067 1325 2823 1583
732 899 1493 1515
1344 79 1385 1065
1466 939 2067 1505
2173 513 3007 832
