4000 4000 4000
1878 1672 2929 3812
129 829 1561 3180
739 742 3115 841
804 495 3692 3817
1648 750 2931 931
921 806 3488 2558
2498 2141 3438 2418
408 1187 3131 2437
1005 2690 1270 3445
2485 15 3877 3022
1926 2657 3353 3031
2594 1728 2996 3761
3192 162 3560 3177
89 1113 1906 3675
567 1231 1184 3349
2469 2757 2661 2984
3235 2145 3242 2888
2139 2282 2602 3885
2270 2879 3897 3679
2171 1874 2263 3307
242 1413 680 2864
2470 1006 3530 1943
737 2576 3543 2999
2068 2133 2073 3165
300 140 1493 1562
617 1157 2183 1514
1545 1368 1719 3666
2397 1675 3937 3623
269 3026 393 3703
6 546 3734 1881
624 1164 2866 1399
492 813 668 1724
1044 1769 2604 3344
247 318 2490 3753
888 837 3042 3900
2320 2839 3232 3705
221 233 445 1353
443 572 508 2171
779 1602 3776 2624
44 1688 2240 3659
526 1730 3265 1755
262 955 603 1625
1722 10 3049 1675
1852 3398 2304 3554
426 1701 3897 3725
611 2382 2131 3547
1501 963 3940 3929
1236 1034 1963 2393
145 433 2257 3835
879 1658 3165 2640
465 2236 2069 2419
1061 1582 3978 3604
3028 3193 3628 3307
788 1386 1235 1754
325 354 3758 820
2548 1825 3722 2471
98 2312 3836 3982
951 216 2910 2944
1672 283 3792 2505
2253 295 2623 900
1044 656 3468 2742
584 658 2228 1776
220 1941 1531 2919
3338 1280 3905 2398
2619 2638 3793 3701
2117 408 2843 1250
1262 867 3260 2600
3107 92 3657 3894
2146 708 3590 3927
914 97 3843 3882
564 590 1208 2581
2657 2477 2890 3377
3052 1441 3865 2045
1653 2330 1672 2804
1982 2318 2270 2544
2318 587 3071 2511
694 988 3506 1838
649 2168 2335 2992
403 714 2041 2480
2893 2665 3459 3375
1038 128 3959 806
1612 206 2352 1797
1362 2117 3676 3022
301 844 2154 2695
147 1369 995 2200
2359 2679 3482 2975
3238 1016 3777 2048
1019 1964 2275 3123
1086 1450 2497 3098
2603 1944 2803 3030
6 1445 239 2870
396 590 1028 2058
1624 2457 1633 2608
1395 839 2428 3652
51 1475 2567 3508
1933 756 3219 2151
3058 1216 3796 3043
59 3160 1359 3859
962 1394 2421 1568
1119 105 3437 833
334 2870 905 3433
3546 2437 3881 2453
874 1668 1081 1874
707 632 3861 2722
978 167 3102 3426
1304 2959 2189 3484
1073 386 1494 3889
625 1147 659 2665
493 3064 3010 3447
2351 147 3341 1368
126 1587 3406 2328
1819 148 1888 3188
1781 1279 1930 2176
138 379 3538 1481
2035 2274 3674 2364
1243 2768 2225 3924
904 516 2512 1614
1942 3294 3175 3688
1091 1946 2136 2419
1286 816 1598 3347
2399 110 2704 3388
163 776 3635 2246
317 1351 351 2082
1126 191 2259 3487
21 331 2003 2732
313 2299 1731 3296
808 1522 2593 1836
1922 3183 2545 3321
2479 507 3049 1779
788 515 3956 3638
2563 542 2712 2284
247 864 2290 964
333 272 662 3505
117 944 2031 2682
55 1005 3261 2153
1011 682 1672 2858
387 939 1868 3988
2019 1654 3019 3747
553 606 2565 1204
1726 2286 3118 2410
2212 3030 2995 3964
3439 226 3792 2680
319 1271 3166 2211
62 114 392 2046
2932 262 2951 2542
799 670 3567 3769
227 2147 824 2953
1447 481 2989 1072
1702 666 1796 2211
1454 1312 3091 2175
26 1863 3397 3907
607 842 3149 2764
1791 440 2310 3008
610 822 3488 1480
1618 1728 3331 3740
290 91 1370 2344
2436 2484 3436 3149
1519 2654 3131 2697
796 582 1264 2248
1813 1292 2852 2865
2332 2566 2884 3803
502 2116 2530 3939
152 34 556 3389
81 2209 3532 3293
1971 1697 2705 2270
602 715 2343 723
1002 1786 3302 3077
2084 2055 3893 3394
257 639 1419 3908
1209 638 1726 1483
1314 2348 2045 3813
1551 1098 3002 3562
1454 402 2370 630
1399 933 3259 1151
206 29 1765 2102
2708 918 3908 1326
1687 1723 2393 2256
457 750 2637 3756
2623 1949 3974 2724
2799 550 3750 696
1470 1443 3323 2124
517 471 1792 2304
1947 878 3681 2499
1780 1130 3928 1628
89 2703 1609 2879
3876 3652 3885 3654
1923 585 3461 3845
869 3355 2168 3789
205 1704 3983 3825
75 1768 2842 2418
3527 2953 3562 3850
68 283 3563 1862
3114 1301 3928 2808
851 2475 3368 2741
330 1752 2810 1909
482 402 1121 2134
1036 2008 1390 3507
1380 1578 1622 1681
1088 496 2110 590
2009 812 2326 3114
798 132 2670 1295
351 889 2585 3776
1189 77 2398 3827
1977 295 2738 1227
1766 57 3676 3026
33 9 787 3344
31 1714 1742 2969
2675 568 3248 1535
92 2366 156 2762
3372 420 3398 1878
1143 1976 3979 3897
537 2855 872 3609
2260 3176 3187 3234
1081 574 3179 634
2502 3246 3700 3331
3424 50 3826 2956
871 1748 2415 2301
