4000 4000 4000
569 1852 3368 2303
2640 1268 3654 3951
322 1289 546 1880
596 1619 2185 3217
115 1151 189 1827
322 2291 3103 2634
857 37 3817 3982
752 2190 2208 3013
324 907 3574 2493
3418 140 3897 990
2054 952 2318 1428
1461 1494 1726 2478
3319 1519 3669 3863
1060 1729 3711 2993
1535 401 1961 3211
827 1310 1575 2251
82 605 1487 717
346 337 1733 2727
1317 2043 2850 2266
585 1117 3435 3947
1862 398 2549 619
2488 1371 3730 1505
230 569 1297 1558
1471 241 2468 1432
225 1152 476 1488
3169 2069 3406 3742
860 1816 1658 3649
1351 1868 2789 3517
1515 2267 2386 2278
2593 2201 3336 3189
1780 8 3416 35
505 2257 3631 2382
192 1975 2045 2673
1930 1772 2091 2422
1168 314 3828 789
3003 303 3799 1147
145 1740 765 3364
299 146 2435 1882
1135 3402 3535 3464
1447 1677 2131 3203
570 452 1295 3940
205 1122 1072 2698
2039 127 3896 570
1012 930 2976 2362
3223 1679 3241 3548
2294 225 3378 685
2357 489 2502 629
1294 1632 3007 2957
176 665 1308 1983
1079 1772 2972 2107
2855 1330 3351 1844
1275 527 2213 2761
575 2120 2617 3869
1664 1769 2420 2793
2620 1663 3923 2951
211 1372 320 3569
932 679 3019 3419
756 8 2868 2030
2334 2384 2501 3749
854 679 859 2990
11 680 2932 2190
1265 502 1939 2054
1422 1740 1758 2328
1375 236 2087 1350
1668 1756 3853 3194
838 978 1691 2991
2046 786 3832 2954
102 119 2542 1457
601 1314 2590 3903
1379 2505 2138 3609
677 212 2259 2164
2884 2724 3979 3526
2683 758 3123 3640
26 1668 2774 2698
436 1638 3351 3071
2098 272 3774 2906
1887 1912 1962 2139
984 2273 3660 3560
952 1775 3773 3966
516 24 709 969
1635 439 2797 1658
484 60 2910 2091
324 351 1266 1527
1314 1790 3450 3064
2931 432 3858 3322
660 2117 1572 3705
899 1337 2213 1567
2358 1429 3751 1760
2104 327 2842 407
1789 809 3734 2451
1227 1696 1355 1936
1125 197 2116 2979
1276 1145 3147 2107
1609 2758 3652 3317
264 1349 894 3476
901 961 1381 3268
1455 177 1518 3461
2420 677 3003 2838
486 1082 2059 1663
668 1592 2768 3225
260 180 2225 1652
1191 117 3034 3210
1308 764 2460 3674
991 1503 2732 2651
1085 2404 2369 2470
58 765 3858 3189
979 1066 1441 3624
253 3029 1504 3448
795 1161 989 3275
251 175 1434 764
161 452 3294 3237
2234 2700 2485 3596
2263 1726 2423 2862
492 417 2337 3485
1488 300 2288 485
733 297 3809 3350
388 294 2778 2590
3635 1525 3745 3977
2050 946 3974 3264
207 2695 886 3807
679 2417 2800 3688
1308 1238 2628 3717
2396 314 3939 2077
1602 441 2661 3639
3025 334 3327 3172
362 2227 465 3473
388 116 2272 145
2128 1949 3162 2410
2951 916 3943 1249
1374 1751 3629 2839
835 2303 3986 3485
1941 2182 2835 2936
709 3136 2777 3611
370 549 1676 3699
566 2243 3792 3042
1989 436 3837 800
968 116 1444 2063
1753 2513 2044 3056
1344 510 1548 2974
307 15 664 2295
289 2658 2891 2961
142 795 1717 2496
478 1284 3482 2804
73 646 920 905
759 610 1660 1052
2468 32 2595 627
609 1043 3488 3913
1383 2397 3321 2598
699 508 2539 1446
2518 235 3982 2968
1067 830 1938 3369
243 2271 3824 2556
398 2390 2001 3536
573 134 2592 931
431 3826 1874 3846
505 2966 3944 3415
1205 2993 3000 3551
1292 1318 1308 1693
933 1490 2290 3670
1616 780 2904 1500
1504 595 1994 1692
1489 1811 1724 3595
1376 1740 2109 3427
2101 531 2716 3339
29 2291 1504 2866
1936 886 2976 3596
1340 727 2206 3986
3034 2896 3960 3927
3062 2422 3984 3780
2634 1720 3974 3779
3107 510 3552 3163
276 135 3603 755
747 793 3651 1319
680 216 1670 340
3373 326 3925 3607
1339 2612 3224 3694
2854 1359 3335 1416
2924 501 3864 2846
916 1686 1306 2915
1778 1408 3142 1432
2514 1679 3461 3082
2503 2177 3603 2633
427 552 1297 1986
803 53 2858 3501
345 1627 3179 1842
885 1901 3386 3844
1181 3007 3465 3236
2099 1282 3579 3497
1323 3073 3698 3173
308 594 2760 3173
619 2973 3622 3884
40 257 3927 2033
1243 779 3145 3780
2511 1689 2934 2851
520 1839 1052 2776
253 711 1122 2878
503 3284 2207 3728
108 432 1840 3327
586 274 2835 1228
123 1113 2007 1745
808 501 3453 2586
1112 2069 1319 3698
3405 1905 3439 2195
2571 708 3576 3329
2116 3221 2167 3821
1123 1372 3361 2904
1945 357 2560 447
1391 584 2797 1221
544 640 2166 3521
1979 425 2326 1217
1144 1358 1576 2727
794 374 1389 2960
2237 1022 2893 2519
956 2339 2000 2893
1921 2325 2018 3815
1111 3749 3252 3992
677 1331 1083 1837
676 2489 915 3409
1182 681 2419 3445
2861 1668 3938 1784
1632 1468 3402 2600
669 3016 2559 3730
613 1850 3409 2678
1288 1328 3472 3552
482 1510 3723 2188
522 1622 994 1823
1739 1305 3861 3823
2479 646 3644 1839
3453 7 3993 1423
393 1189 2581 3674
2867 410 3886 431
631 2328 2910 2621
570 2084 2487 2293
863 451 2770 1589
1399 2080 2280 3113
1207 3057 1208 3539
2463 591 2953 2787
2303 1521 3145 3900
1281 1747 3992 2647
896 3445 2939 3452
1534 1456 3700 2376
2417 697 3294 2846
810 436 3422 3968
3057 554 3715 2920
431 552 3247 586
1363 548 1570 2764
28 2354 1222 3919
25 371 1360 2141
2303 480 3932 3386
2402 979 3115 1671
276 48 3857 2461
563 712 2913 721
126 129 543 1570
1712 1089 3518 3415
640 345 2193 2051
2140 2368 3270 3858
1950 1653 3720 2543
539 2107 975 2467
2620 2699 3792 2915
3062 464 3662 1978
616 393 2663 2173
23 1031 2873 2427
273 2771 677 3499
2499 148 2938 613
1808 2938 2177 3625
1816 622 2546 3579
256 3238 2162 3318
2469 564 2785 3669
886 2923 2969 3743
2470 530 3074 2736
1039 1185 3534 1250
1451 1995 2876 3253
2485 271 2818 1814
2242 2638 3938 2714
925 78 1563 2034
72 1812 3546 3392
1777 121 3380 3710
560 505 1714 3671
49 2520 647 3534
1889 1136 2229 2399
1438 11 3175 1217
1988 90 3572 148
12 553 1569 1834
1055 1824 1172 2719
770 3190 3591 3684
541 2588 3173 3450
2477 1796 3686 3109
963 3584 3165 3624
605 126 3274 1402
1129 712 1624 795
2206 989 3254 2270
1107 882 1677 3209
3477 691 3922 2090
803 1355 1212 1530
1190 3419 3865 3558
905 399 2247 1373
3604 1687 3683 3232
1228 1232 2031 1863
3654 916 3976 2180
866 1102 3679 1730
36 8 2779 559
405 1129 790 2137
2542 879 3472 1650
137 524 3978 571
941 124 1642 3556
1663 2204 2692 2744
2522 664 3142 1809
1631 2723 2886 3255
2949 1182 3050 3860
2480 2462 3054 2482
3178 3086 3336 3376
1107 2477 2490 3939
2677 1067 3543 2617
3239 3356 3609 3862
1360 892 2251 1210
932 2591 2181 3516
439 20 3204 2476
194 1921 3877 2878
778 2470 1166 3654
1526 2987 2301 3294
461 324 3370 687
893 994 2029 1488
264 1578 3401 2572
730 2783 3392 3987
1602 2119 3655 2801
227 719 1293 3054
900 1435 3285 3672
1238 2351 1539 3708
1348 2401 1821 3458
2205 3285 3510 3802
161 2166 2550 3229
14 1034 3181 3382
2183 842 3082 2823
1701 271 2245 1510
69 527 1884 1212
528 24 820 3665
325 887 1177 2182
2545 296 3778 819
713 403 3318 3789
1638 1317 3436 3958
1408 1660 1914 2478
3555 1260 3874 3267
615 945 1754 2363
480 248 1791 3267
217 2807 456 2879
1133 1418 2331 3099
615 1914 3491 3912
938 1788 2888 2219
327 1383 1861 1767
1627 410 3253 2261
245 1658 575 3811
3240 385 3715 2724
2165 1791 3786 2875
1130 1722 1587 3026
1045 2009 3663 3402
199 749 689 3812
1539 2061 3285 2323
143 146 1896 1378
2208 3213 3614 3271
1502 1051 2602 1763
324 1628 432 3919
1245 1127 1758 1259
2533 573 2586 1570
94 1116 1540 1118
1680 693 1761 3895
371 669 460 2574
1118 2239 3706 3340
456 592 820 3979
61 774 1541 3145
58 2374 3426 3969
1394 2970 3539 3081
2151 687 2740 1869
1864 2604 2111 3449
737 639 2890 1129
2280 1181 2348 2811
1465 1328 3438 2961
2796 21 3531 3207
996 1029 2511 3173
2078 781 2252 1267
295 2587 561 3453
572 1562 3786 3901
259 1793 3271 2858
1892 352 2023 3140
1958 2864 3618 3262
2380 338 3402 1971
1442 1672 1819 2868
2347 863 3621 2541
2114 668 3396 1227
3088 522 3771 2738
298 1790 1979 2978
1193 1385 1324 3869
356 1693 2192 3602
41 1371 3552 3873
696 16 3123 2735
2228 2220 2317 3917
10 1223 846 2668
1136 2100 1460 2423
244 1895 2058 1990
489 168 2368 1092
2421 2899 3439 3053
384 279 3621 1679
2953 1514 2971 2723
1900 549 3034 3167
172 2047 2378 3650
1784 2095 2599 2574
1113 2848 2963 3705
3279 2333 3956 3509
1248 1330 2969 2681
320 163 2321 1276
961 1938 2647 3669
1437 759 1816 1616
787 411 1781 3207
156 1118 905 2199
2449 1558 3455 1936
64 870 3732 2804
783 2981 3698 3189
110 519 2943 1853
1073 2369 3846 2400
540 1999 1289 3040
743 1109 2238 3483
2811 775 3063 3682
2415 2582 2540 3351
2138 993 2157 1484
182 1181 3873 1311
189 840 737 2878
94 94 3406 1272
373 1388 1167 2400
1701 1493 2831 3500
397 2846 2898 3534
6 931 1109 2510
108 245 2226 2056
1489 2146 2858 3507
1426 792 2193 1396
643 1903 2387 3740
103 2464 1181 3153
2014 1875 2182 3460
2137 1504 2646 3238
75 472 2721 553
173 1271 2648 1528
386 2365 3827 3921
1569 2244 2138 3890
1042 1303 3908 1454
88 218 3494 2888
1626 1032 2116 2683
1222 1159 2351 3918
1403 642 1507 1898
778 3202 2388 3364
259 521 1561 542
19 1828 1287 3720
670 437 3383 665
1560 67 2861 1915
445 3273 3136 3591
3055 36 3509 1122
1630 945 2386 2523
2315 950 3482 1000
845 589 2689 854
458 2321 3018 3913
3232 1077 3571 3245
379 3103 1751 3400
1913 1267 2412 1329
22 1641 223 2699
1070 653 3541 1621
21 2324 290 3437
40 1458 2516 1883
1964 3028 2909 3728
390 724 3337 1235
1184 3537 2555 3756
1588 744 3153 1028
1386 2594 2889 2953
2219 1720 2757 2051
1135 1515 3183 3442
1423 1836 2048 3553
3441 2077 3901 2208
3318 3042 3823 3252
1330 180 3465 2337
476 410 1153 497
533 1762 2597 3891
1146 1712 1702 2226
2381 1320 2428 2265
1687 803 1992 1671
1542 956 3429 2215
3652 1197 3920 1529
1628 2122 2499 3325
1082 3383 3285 3410
1837 958 3190 3191
624 2906 985 3292
404 319 1523 1044
22 2000 1325 3691
1293 1300 2437 2131
1141 852 1581 2493
478 56 2961 1762
1073 873 2707 2105
2433 2596 2554 2620
2942 199 3172 3725
2023 683 3196 3255
2217 556 3664 1241
1041 2057 2962 3550
557 2057 2503 2308
103 880 954 1746
2695 1027 3371 2678
592 1330 1743 3904
374 1452 1085 3481
2589 695 3212 1494
1337 3437 2800 3577
2095 731 2420 1944
2135 622 3713 2565
3128 1756 3365 3520
165 573 3606 835
1691 2192 2142 3150
2902 1708 3309 2278
1434 3442 3020 3840
1456 1416 1789 2377
1027 477 2140 789
1821 2871 2713 2943
1804 1069 2877 3815
1094 352 3851 885
1568 1360 2933 2710
284 2451 1754 2880
3569 667 3971 3985
1487 1557 2855 1976
1517 2109 3716 2720
534 1372 609 1997
613 1548 1213 3161
1000 256 2386 2817
2009 2697 3114 3863
1390 2740 1418 3929
248 2234 347 3155
1761 1361 2375 1608
1522 1400 3217 2667
1690 591 2110 2450
1746 2290 1944 3478
378 839 3333 3148
1734 1133 3875 3033
2270 2780 3860 2793
2479 1078 2748 3576
456 309 1299 426
866 2408 1143 3326
205 854 2556 1216
386 2860 783 3127
1767 3241 2612 3735
762 626 1546 3947
147 433 326 2681
1421 1018 1740 1904
668 396 2364 3959
2026 428 2501 1416
562 2561 2111 2841
1338 74 3654 3256
36 591 3159 1543
1452 521 2683 2485
848 2055 1640 3570
946 756 3499 1765
2652 3751 3811 3775
2100 605 2373 1996
1678 1049 1778 3204
1267 1274 3823 3655
1253 471 2887 3722
799 1867 3588 2868
308 2034 1867 2229
586 1071 1587 2240
3344 436 3498 1264
2841 2121 3088 3418
3709 220 3928 3617
636 816 2731 3568
627 1100 3200 2149
1167 2926 1555 3086
2112 1608 2328 2360
914 65 2995 2096
2258 1232 3316 1996
561 787 1211 3246
1042 2290 2423 2900
1042 1715 2629 2906
2752 302 3155 2061
1221 649 1373 3059
2697 993 3433 3933
556 1072 677 3111
1062 92 1281 764
3223 1288 3380 1700
2097 942 3435 3456
1153 474 1661 2699
244 3515 266 3723
1805 1236 2675 3517
959 3521 3389 3595
828 3516 3552 3693
1931 518 3104 624
692 1036 3604 2414
1208 380 2334 1791
740 1503 3144 3948
385 86 2414 969
243 1391 3593 2980
1061 1708 3772 3362
409 513 2540 3203
1504 3052 2246 3432
220 3128 1233 3462
922 2688 2342 3275
1103 1971 2592 2324
1335 314 3785 720
612 1053 3706 3536
412 2717 1732 3157
1616 2957 3017 3366
583 277 1525 1448
548 127 2797 2841
2865 770 2909 2192
2486 934 3114 936
650 232 2799 2616
779 430 3904 1230
1719 444 3542 1404
651 1889 3598 2770
487 2520 661 2810
1852 2819 2021 2942
502 2651 966 2668
2544 944 3335 1681
2278 1447 3039 2134
1583 2 2042 1481
192 1084 1242 1344
2412 1166 3775 1278
859 2190 1021 2626
2462 903 3997 3864
550 927 2999 3230
321 1533 3138 3650
2753 2259 3189 2377
2564 522 3755 3589
305 1866 2710 3716
578 1283 2011 2252
281 2514 2251 2975
26 1155 3650 1463
1877 1555 1994 3658
308 670 3271 3042
1174 547 1257 2866
1320 837 3924 3756
1735 2959 1937 3239
3171 921 3891 3946
2055 1521 3087 3831
942 126 1450 293
2031 2242 3960 3849
1347 1513 2465 2804
2593 2629 2656 3949
1330 3004 2524 3027
253 14 1714 1408
1513 853 1843 1177
202 443 1456 2026
785 2564 3586 3262
91 181 2887 3647
708 589 3629 1588
238 380 1676 3784
587 1445 2800 1700
679 148 2198 3087
642 1759 1524 2075
3088 3396 3855 3511
85 1514 1909 2922
2781 1869 3277 2099
270 275 3844 1669
77 1254 2551 3559
2421 566 2598 841
2407 1683 2617 2896
441 2551 2802 2622
2831 1882 3630 3873
1549 1237 2225 1843
1428 2201 3571 3561
1798 99 2285 229
627 733 3438 1067
236 2016 1687 2523
1881 202 1987 3583
1489 1697 3463 2878
1655 555 2382 2675
337 755 2313 3569
59 1547 1509 3877
304 438 2966 3125
378 54 2526 1862
276 878 1345 1760
941 624 2482 1995
180 943 3195 3160
687 2226 3490 3869
1990 966 3563 1192
293 2132 1243 3885
209 605 2277 2158
921 255 1745 397
608 609 3852 2581
3195 1253 3689 2165
1410 1884 3399 2552
73 1869 3325 3697
3140 3040 3307 3983
430 851 785 2965
1577 3119 3182 3398
184 2100 2886 2333
783 2650 1240 3037
647 705 3793 1719
842 50 2017 3991
118 853 1201 2727
1189 970 3564 3243
2529 461 2758 2183
449 992 1119 3429
501 981 555 2187
407 455 1558 3638
1412 128 2507 1909
1530 1548 3052 3366
37 3811 1159 3851
455 1225 657 1487
834 1302 3011 3959
