4000 4000 4000
2195 3 3107 2410
2576 603 3169 741
2336 1319 3236 2261
1914 2459 3608 3677
1176 1782 1950 2902
1763 1822 3631 2938
1609 399 1929 407
3381 1118 3989 1864
1583 449 2476 2460
509 864 2218 2608
1990 375 2262 740
38 1201 2664 1707
823 646 3452 1705
2538 378 3373 773
129 2307 347 3159
271 1259 2620 3306
315 305 1966 1415
2217 156 3173 3132
169 1308 1565 3758
2832 1971 3393 2509
3489 43 3883 3124
542 2078 3503 3641
1270 220 2628 1916
102 2554 3834 2617
409 1149 3106 2538
518 2182 2022 3884
2039 1452 2946 2630
73 536 1652 2828
897 322 2909 2428
1925 1563 2851 1776
124 33 3976 3597
566 554 2127 2013
2368 1412 3234 3744
974 1021 1784 3064
3209 449 3730 2982
1927 1768 2110 3957
3260 39 3560 2138
818 2689 1715 3240
1078 789 1606 2597
2780 137 3700 2288
2998 2907 3837 3572
415 2141 521 3357
20 1915 1843 3762
292 1695 1274 2049
2385 1547 3200 3257
1391 1397 1728 2553
1602 1372 2831 2293
3224 1527 3690 2243
511 209 1037 286
1676 189 3018 2818
1668 2210 1725 3471
659 1443 879 3040
496 246 2300 612
231 9 798 3358
385 256 2689 2477
1161 1281 3355 3452
1884 1657 2913 1897
1229 1030 2505 3675
428 1190 2061 2334
358 2436 2293 3537
2887 1841 3085 3399
202 1911 408 3518
2500 2359 2974 3671
1213 1893 2639 2181
328 2134 2981 2758
2623 377 3749 3248
3356 65 3978 3650
1909 1962 3107 2959
2255 413 2297 3066
786 2935 1355 3570
91 3442 3487 3552
3260 3110 3906 3989
1331 2272 3376 3914
1168 2128 3420 2223
1415 1137 2838 1702
98 1400 1512 2530
651 85 3490 300
754 1901 3733 2271
2291 311 3446 2882
2124 168 2559 2945
171 1474 368 3257
1149 3021 3004 3250
354 1627 2405 3480
758 74 1443 3297
581 480 3247 3864
722 475 3597 3655
2307 819 2977 1589
903 900 3183 1218
1423 1013 3983 3472
946 1023 3675 2919
1261 584 2525 1426
2518 1088 3859 1284
2464 1354 3842 1553
2243 243 3349 1989
149 214 2156 2766
255 2732 1640 3514
606 948 3971 3458
51 1609 1922 2121
1141 1250 2677 3418
1733 357 3295 2542
2647 1551 3559 2704
81 1660 3477 3611
2009 2016 3306 2740
1866 321 3230 413
3440 211 3755 360
183 805 1101 918
1155 729 1811 3608
966 2289 1865 3943
1760 1150 2941 2527
1341 1532 3010 2804
3133 727 3261 1898
962 1244 1307 3104
390 1478 2900 2072
452 1380 2985 2337
158 218 3408 2273
2139 1036 3719 1423
2858 204 3543 654
1816 38 1978 1092
2065 509 3563 3436
819 1312 2004 3687
1348 471 3268 1611
589 2725 3253 2873
1100 809 3113 1943
242 2460 3299 3921
426 1366 3658 3446
915 84 2900 576
65 364 350 2549
1841 524 2382 860
1918 2606 2064 3794
1687 2892 1761 3102
18 2164 2948 3858
1948 652 2550 2615
1171 2851 2214 3473
259 824 1131 2587
3251 1809 3857 3161
2614 2543 3475 2611
591 167 3526 1443
648 2768 1920 2847
81 430 3043 1278
306 655 1653 1106
232 850 1612 1493
2963 2338 3229 3620
1161 390 3966 2266
175 2407 763 3344
1234 1884 3108 2245
2020 483 3862 1647
3366 1553 3776 2494
2257 3040 3943 3703
1882 2198 3843 2785
1861 348 3745 2083
1211 1648 3955 2247
2522 1247 3024 3792
235 1224 1792 1635
1115 1238 3889 1756
716 756 3809 990
337 1388 3137 2492
705 21 3295 1210
858 928 2990 2236
308 324 1974 3649
1652 1190 2573 1549
186 2781 3156 3635
1183 2879 3761 3002
2959 1082 3278 2298
2433 260 3638 465
238 2460 912 3858
3214 2148 3504 3410
1439 1130 2362 3695
495 2937 2975 3567
1871 1182 2232 2332
3406 1127 3676 3058
3006 670 3997 3408
251 2453 3438 3342
1086 464 3810 916
152 1154 561 2398
1487 127 1633 916
2172 164 2184 2368
2374 1854 2810 2293
400 567 3717 3218
894 2092 3231 3350
2658 1874 2780 2977
1435 2041 2643 3101
329 578 3242 3358
44 1567 2698 3476
473 1964 3752 2030
1993 1194 2561 1621
293 322 1959 1065
529 809 1127 2346
1336 34 2657 2013
2762 338 3722 759
548 438 2392 2948
981 488 1440 1014
877 542 3934 2766
2292 2022 3607 2037
289 284 688 2708
1764 102 2709 1005
1761 2082 3030 3218
1800 2525 2523 2835
1205 1829 1438 3435
1924 261 3811 1450
896 444 3811 1399
601 281 2648 3818
11 482 2048 2912
1359 2012 2238 3710
537 1436 2060 2081
2065 2326 3887 3350
2444 691 3558 1880
2832 3349 3629 3623
971 1430 3650 3540
1052 638 2914 1683
2282 1366 2505 2528
2502 1346 2925 1693
607 1322 1546 2106
577 1262 2701 2164
1352 934 1793 3686
330 4 3848 1959
2107 1745 2207 3790
213 3004 3647 3045
1329 614 3384 2247
1723 966 3467 2450
1661 558 3928 2635
3250 262 3555 639
150 590 2633 3823
782 2682 1300 3990
544 1451 772 3092
730 2025 2257 2759
202 1635 2316 3303
1690 2963 2561 3910
456 341 1822 379
1029 1159 2326 3540
365 3181 3253 3283
2310 1502 2506 3312
1087 2555 3554 3657
584 1660 3124 3097
33 49 3506 2288
544 1770 729 2497
209 339 1386 2461
1579 1084 2738 1986
121 447 906 3301
2205 3619 2953 3732
1293 2881 2854 3873
1201 2400 2394 2463
1344 403 3936 3507
2186 168 3643 1034
938 291 2314 1152
1479 472 3173 1241
3136 182 3770 3968
2400 1832 3005 2281
439 521 3524 1896
2553 714 3150 3778
795 850 2499 2598
1538 934 2313 3608
2397 232 3951 3716
2489 2836 3869 3957
67 2101 3309 3506
1377 1275 1911 2242
2991 1061 3385 3201
2273 759 3181 3228
249 219 1947 3796
1907 204 2701 1464
1091 734 1373 1463
1704 1123 1727 1867
2601 32 3797 2245
2687 1027 3051 2103
1153 673 2816 1381
915 1487 1622 1883
1819 976 3914 1672
332 1295 2670 2215
1279 546 3132 1044
1518 629 2377 3212
1044 1811 3962 2356
