4000 4000 4000
210 567 928 1259
468 3482 2550 3756
637 376 1166 921
390 874 748 2649
1320 496 2891 1689
38 391 3643 1111
2188 950 3416 1239
2558 1448 2854 2716
1444 2573 2126 3484
1162 475 3064 949
606 2449 3664 3174
917 743 3395 3624
1457 573 3674 1524
1769 8 3149 90
2070 205 2477 1635
2030 195 3017 2285
3603 428 3644 2981
420 1742 2166 2332
1285 1983 3299 3609
1391 3492 3840 3778
2213 2028 2745 2141
2748 443 2978 2231
36 1779 2133 1838
2233 1051 3112 2572
330 3295 914 3633
90 489 2814 1823
1708 816 2673 2744
671 1146 3019 3725
1273 1140 2504 1918
300 2040 3906 3862
1366 2673 1620 3314
167 167 2786 3406
163 1396 954 2540
3000 1665 3886 3385
620 3519 3155 3774
1009 559 3217 1886
55 2707 2074 3679
374 273 391 869
444 471 1180 3565
802 589 3865 2021
1168 991 1319 2678
849 1573 1930 2929
25 681 377 3350
1997 714 3175 2767
2285 2288 3605 3153
1009 1092 2554 3221
1314 860 1347 2910
1994 1102 3748 3290
64 3349 1533 3823
1248 1575 3993 3733
1750 995 3413 2129
1387 1988 2250 2570
2139 285 2155 1903
1965 1133 3404 2524
290 1080 1132 2567
1146 2358 1216 3997
938 2053 1897 2953
196 2271 1170 3898
1728 1645 2087 3370
732 1207 2110 2565
2045 703 2055 3419
92 45 2437 3047
2055 991 2845 3291
1238 862 2952 3850
2992 580 3845 3551
469 978 2305 1292
864 2384 1699 2908
2254 439 2666 2653
3202 1109 3219 2374
3597 875 3666 3585
163 735 2661 2507
1344 827 3094 2551
2051 2203 2086 3943
1719 111 2210 1384
1945 1029 2186 1712
2073 506 3385 1896
32 1410 1283 3937
356 1316 3227 3246
1867 256 2108 3928
420 3697 3398 3773
93 1669 2129 2362
629 136 2033 2344
976 1015 1478 1631
892 1348 2657 1361
703 2761 1955 3965
1190 1381 3280 2769
596 287 2054 1344
829 1042 1874 2198
1024 2116 3060 3453
2262 821 2416 2893
3488 1386 3949 3762
1792 960 3398 1290
645 1533 2281 3986
1053 2625 2732 3946
790 1547 1183 3978
1288 581 2178 2265
2940 974 2963 1041
1028 3648 2021 3981
134 1318 244 3165
1269 2122 1988 3342
748 1414 1584 3036
430 2818 2077 3608
2019 442 2422 1253
1249 1732 1297 3709
201 3317 3230 3924
2500 3137 3197 3234
2130 2063 3206 3991
458 2928 1641 3390
2174 436 3120 2577
704 1261 1667 3063
1457 2929 2760 2930
2365 1344 2920 3616
1294 1074 3492 3823
151 878 845 3014
904 133 1579 782
308 1371 2085 2439
210 452 836 932
1217 882 2177 2938
1151 887 1193 2506
198 121 3370 3414
1834 1784 2494 2104
2078 1278 2363 3062
388 1185 675 1293
3440 664 3591 1652
1049 2464 2543 2871
1530 99 2174 1424
969 256 3952 369
520 1407 1382 1760
2910 1609 3896 2827
425 1038 1102 2566
714 60 3720 218
2712 1709 2736 3186
1363 497 1499 2814
479 79 2651 2500
3 284 2507 2016
605 539 2682 3927
462 1189 2877 2588
1209 1228 2542 3969
481 204 1747 1431
1391 75 1564 413
575 734 3459 3717
765 2579 3525 3363
911 1973 1322 3949
536 668 2934 2220
1429 52 2832 1116
377 287 2778 3136
716 45 3236 3644
2120 1682 2805 3302
3180 360 3317 1205
3635 747 3897 766
1820 1053 3050 2087
3087 1731 3943 2832
503 153 1085 870
2118 465 3661 3615
72 957 2838 2956
256 1485 1297 2924
2639 1161 2697 3533
3478 1703 3745 3575
2738 870 3436 1139
2089 1622 3563 2895
361 154 724 1879
1515 1784 2846 2989
1282 1303 1509 1782
3090 1484 3947 3380
221 1997 1938 3318
1064 419 2708 1689
464 874 2715 3094
2271 464 3431 1809
2980 1014 3335 2645
293 1524 376 1712
1738 2 2827 1153
855 70 2586 2793
254 2927 2975 3035
2253 1830 2817 3122
835 2722 2248 2771
1729 2362 3286 3052
2340 953 2608 1157
2628 2999 3634 3531
653 553 1749 2840
20 2232 121 2905
465 1466 2776 2309
671 760 3547 1657
941 2201 2279 2976
70 976 558 1711
664 2612 3759 3883
1421 1228 2939 2463
3399 2872 3663 2944
928 642 3497 1960
1026 114 3103 3083
129 1611 2065 2166
2352 2839 3870 3077
922 2232 1393 3245
3732 2547 3922 3375
1607 1264 3125 2303
421 2853 3757 3676
2892 879 3010 2074
1248 3463 3402 3996
1925 443 2115 3417
636 2495 721 3478
2270 1881 3690 2104
1253 442 3986 3268
1402 866 2290 2266
792 2018 1009 3719
1418 40 2628 1763
1998 260 3159 2256
2363 1727 2649 3663
1167 2419 1331 2912
3248 1261 3302 2323
1057 3578 2090 3939
1185 77 1492 2952
1277 1523 1745 2173
2198 842 2604 2070
946 1626 2764 3699
461 2777 3143 3294
917 135 1238 335
1090 1371 3575 3180
1033 2042 3336 3317
3378 3303 3652 3412
2349 843 3330 3643
1464 308 2356 823
306 2375 1876 2837
1094 768 1550 3533
2444 526 2855 2850
154 3510 1622 3925
2176 81 2910 934
2431 2728 3754 3343
1931 37 3421 1671
1311 3156 3011 3279
994 1700 1641 3706
3156 2582 3687 3132
513 1277 1590 3033
2508 1007 3627 3772
1176 193 2087 1491
2553 1297 3754 3951
963 169 2854 1990
1558 205 3577 3951
2947 1231 3233 3601
895 91 3521 3227
1899 1108 3573 2845
877 2135 1838 2730
1241 1896 2107 1942
1879 1467 2827 3061
175 749 746 2693
1788 403 1908 2538
734 2796 3534 2960
1020 847 1032 3360
1955 3203 3814 3579
12 3384 1466 3401
493 1569 2754 3716
2298 9 2764 477
2494 40 3807 2920
698 1815 2834 1853
977 1274 2189 1890
1062 1703 2087 3620
1504 691 2269 3459
1509 158 2132 1139
305 499 3986 1603
1088 887 3299 1972
469 2747 3538 2811
381 556 2088 901
926 443 2919 931
2150 1532 3086 3528
1379 1436 3707 3999
1669 67 3608 681
460 464 1377 3267
2356 2048 3547 3471
598 3786 3771 3828
568 2819 1743 2834
1967 1214 2149 3921
1023 907 2056 3521
2401 2709 3125 3707
2298 2625 3581 3958
1499 1636 2836 2832
442 1585 2936 1863
74 624 883 3067
2196 1667 3199 2767
362 78 2699 2871
1018 1551 1457 3511
618 78 2013 3761
2122 631 3336 1879
172 3147 1642 3362
3567 240 3713 2285
1687 577 3177 1657
1632 1698 3320 3355
206 3519 3932 3621
845 2435 1837 3621
711 465 1688 1983
581 1136 2993 2030
139 1182 798 2210
10 585 2995 2044
1664 984 3299 1519
1783 125 3054 2745
2340 1490 2876 3565
1773 1497 3664 2286
566 829 2103 1068
2406 1340 2529 3884
1026 2226 1060 2267
2722 439 3491 3602
525 1039 2171 3206
350 1119 1312 2168
715 1221 3642 2136
696 1974 3779 2477
1454 28 3719 2969
3428 3331 3452 3353
3098 42 3500 1914
51 2707 3579 3176
292 1687 1052 1728
1139 1853 2765 2421
25 1895 1950 3645
357 1914 3090 3150
1915 3226 3318 3959
3619 1003 3957 3850
2 397 3281 1883
980 2013 3480 3054
1244 103 2830 417
894 2827 3218 3647
2032 1037 2671 2742
1565 996 3916 3846
2427 1469 2721 1862
1915 2609 3269 3124
3200 2471 3304 2779
862 1623 3695 2400
1335 788 2854 1970
261 2129 3524 3181
3073 1063 3530 3938
2940 2235 3019 3188
1024 922 3015 2802
2676 1782 3131 2365
1323 520 1596 838
1348 271 2884 3451
69 1822 3647 3357
88 1409 2563 3319
2484 2107 3059 2327
808 1576 2771 3896
572 57 2052 1179
6 820 1385 3129
918 899 2972 1096
759 2798 3739 2976
357 476 1200 717
327 1999 2440 2156
111 1503 501 2600
139 312 2156 3630
2280 1451 3592 2338
1125 1810 1613 3541
655 124 1272 1868
555 1130 3389 3474
1454 1333 3408 2242
629 957 1837 2516
2388 208 2965 1506
871 347 2467 3086
1064 3235 1927 3928
84 1293 746 1458
508 1084 1792 2952
466 1259 1265 1321
138 356 3065 3026
834 1401 1263 1527
411 549 1617 3383
869 150 3384 801
402 185 3513 3915
1518 34 1975 332
3329 1822 3586 2389
895 590 3824 1997
879 2952 3752 3763
1454 962 3430 1378
266 1816 799 3862
135 1035 2074 2553
2944 1443 3999 3361
596 99 1813 223
1812 10 3792 2791
2368 3167 3977 3432
941 2477 3360 3179
1776 923 3875 2885
3396 2766 3880 3540
2055 486 2279 3930
789 3708 2340 3766
2382 111 2384 2932
118 645 1931 2815
2545 633 2855 3980
77 515 2946 2677
1258 501 3818 734
1640 1615 3861 3429
1231 932 2502 3048
957 1630 1121 2524
743 2576 2138 3381
154 2676 3655 3722
1601 1267 2815 2551
3332 785 3670 3954
1349 1060 2158 3029
1058 1257 2469 3625
292 564 2672 2104
656 665 3916 1900
1500 1061 3899 1943
1360 1851 2795 2741
2443 1320 2719 2779
2539 942 3394 3642
2193 2947 2732 3390
1043 241 2308 931
2249 3612 2479 3949
2636 1052 3157 3857
364 544 664 1287
2556 481 3193 2736
1375 932 2575 1702
1089 250 1120 2434
262 57 3138 2715
2227 1424 2770 3025
573 2132 1986 3060
1321 1458 1894 3558
618 2452 709 2952
328 1035 3683 1318
686 2602 1530 2981
1588 1390 2995 2156
1563 2845 3498 3827
1117 1360 3192 1859
832 3098 2386 3751
1768 1909 2462 2152
336 691 1905 740
2105 2223 3894 2674
827 226 2627 238
1230 1181 2781 1250
2204 184 3690 2426
3057 1226 3344 3685
684 1304 2735 3977
340 920 1008 3388
579 3855 3573 3873
739 2372 2331 3798
1275 1057 3525 3769
509 2684 3536 3644
546 128 936 557
347 2732 2504 2768
2883 1513 3860 1563
271 1475 3205 3442
919 1797 1267 2470
1001 329 2735 2251
1646 2930 3070 3743
1363 2358 2977 3044
292 790 2364 2080
187 647 1827 3469
318 532 2675 581
229 1830 3989 3146
812 3255 2453 3950
3008 2904 3018 3311
2375 626 3294 2494
2701 3823 3263 3850
688 2839 3190 3724
2913 3194 3734 3828
959 1385 1706 3710
2345 2741 2703 3878
662 1042 3375 3410
2163 353 3071 3611
1187 518 3542 636
2288 2088 2854 2105
2237 3342 3322 3910
2955 1153 2969 1508
527 622 2210 795
1897 481 2431 2235
2034 467 2781 913
3054 846 3516 3003
1705 50 3746 1903
3304 1884 3966 3185
914 2687 3396 2702
2833 3616 3011 3674
1212 1909 2011 2504
69 714 3592 3388
1649 2436 3203 2886
953 442 1714 2661
440 639 2289 3733
1556 2597 1627 3844
2185 799 3323 880
1 1629 3515 2758
381 3081 1112 3313
422 690 3532 2895
872 2821 2138 2885
2657 1650 3953 1819
1732 785 2780 1563
2087 374 3660 3560
2847 313 3738 3299
1371 796 2875 1537
2087 354 3781 2858
1085 2702 3117 3965
372 1944 1017 2654
988 109 1587 613
2322 339 2547 1972
340 3361 896 3660
1311 1186 2580 3276
344 2691 597 3186
2586 618 3522 3456
377 1218 867 3847
507 40 3368 1746
695 1005 3142 3272
925 284 3314 1774
109 946 824 2074
664 633 678 1628
580 866 2526 3557
1269 29 3746 1299
2314 631 3766 1376
618 1180 1531 3611
3169 1810 3547 3277
859 150 3408 373
1420 1268 2444 3110
295 822 2565 893
3793 298 3858 2608
194 595 255 2953
583 1577 2334 2243
1787 580 3073 3033
645 1879 1479 3904
2926 53 3097 603
1773 2544 2790 2784
3012 2069 3294 2598
2344 3489 3887 3550
874 171 1340 898
579 2820 715 3209
1114 34 1751 1311
2968 724 3482 3506
1467 1920 2568 2444
3012 375 3926 749
736 878 2039 3640
501 3864 1924 3944
1407 1343 2146 2615
693 2623 1097 2946
384 1100 426 2053
2466 1827 3824 2950
2044 1956 2726 3819
1480 1471 3021 1986
652 66 1117 2210
2379 1158 2906 1687
374 1244 3840 2852
981 2339 1228 3327
190 2430 733 2899
1343 1524 3787 2741
3110 74 3974 1330
851 447 2033 3194
122 466 2753 3016
1003 1091 1715 2491
97 2479 3622 3551
438 1888 3448 2303
2311 2113 2869 3320
159 2536 1169 3684
1222 2855 3191 3221
2192 2453 2922 2917
2330 1432 2858 2382
1940 1034 2263 1556
1125 213 3706 703
750 917 1460 2059
990 2306 1423 2338
3292 195 3650 3746
992 206 2563 2647
1913 37 3939 3592
1461 2104 3720 3073
1645 803 2487 2293
2808 45 3731 199
453 61 3027 2375
1774 592 2341 1888
6 53 3929 633
165 2721 328 3503
1198 1662 3619 3954
2834 931 3812 1438
863 995 1029 2067
1508 3407 3882 3762
1363 1012 2086 3064
2889 732 3411 3582
1851 776 2209 3336
2042 677 2259 1119
1171 726 3234 2350
969 223 3633 891
1647 962 1712 2540
187 1437 2795 3676
1642 180 1648 456
999 748 2005 1183
3100 350 3638 2576
1120 1415 2104 1890
1455 1335 3275 2000
801 2198 3557 2253
300 907 773 2862
1552 2447 3374 3547
2040 1775 3058 3913
1899 837 3254 1255
1826 195 3413 783
1414 1473 3139 1491
1603 663 3219 2172
881 3289 3226 3578
2416 1337 3375 3732
