4000 4000 4000
3597 1367 3958 3117
1614 466 2442 1731
268 1821 2028 2716
252 3356 1544 3369
1481 2330 1677 2930
2470 1974 2557 2648
594 3056 2513 3472
1023 1304 2364 3763
1862 87 1878 1099
1124 155 3201 2967
3177 3715 3873 3837
1272 2699 3225 3278
368 1032 1564 3559
999 2618 2938 3343
1930 3246 3533 3869
361 275 3141 1187
1374 1347 3171 3551
1524 844 2901 3404
176 129 3789 3207
1618 2133 2829 3041
2255 297 3278 3669
231 1223 2256 2218
421 146 882 2810
34 1198 1408 1500
787 2249 1629 3936
1431 44 2970 3628
1546 696 3013 1615
1093 2394 2887 2628
1272 233 1530 1938
864 2837 1740 3930
2288 1796 2514 3608
3085 1310 3525 3319
1526 2664 1793 2854
2410 1793 2853 3690
131 2648 2603 3241
1231 610 2214 3005
585 1484 3487 2739
67 927 3286 3192
1365 188 1650 2683
419 1796 1382 3523
215 27 247 675
2040 2954 2740 3066
77 2019 3919 3036
3002 1122 3696 2435
2515 345 2973 697
690 3199 1909 3391
1147 569 3970 3536
3399 42 3698 1762
611 822 2375 2305
113 1399 1366 3706
736 1336 2700 2494
1323 290 1975 504
1470 276 2757 1924
2511 1065 2743 3642
85 2007 1748 3842
1087 1675 1655 1924
143 319 1667 3365
191 154 937 3495
46 1161 2642 1431
645 47 2672 2073
1836 826 3691 3947
868 1205 2859 1380
1949 756 2604 1607
584 845 3348 2197
19 49 80 3038
766 1345 3909 2103
2233 532 3572 2745
2664 2268 3615 2476
345 2556 3042 3345
2178 922 3855 945
2132 761 2268 1303
765 1497 2974 2491
1187 2398 2333 2718
231 1442 3568 2817
1614 89 2956 2803
3583 783 3948 3498
276 2131 920 3135
2448 262 2638 3027
25 2391 605 3700
2913 31 3531 2618
119 1158 2284 1657
1088 2340 3485 3529
552 631 824 955
1379 1827 3701 3420
772 189 1144 250
633 2 2054 752
3 1525 2644 1898
2891 443 3686 3068
71 118 428 2427
2697 1131 3913 3520
888 578 1872 944
515 1243 2755 2977
1531 554 3532 2362
833 2968 3107 3910
3083 52 3654 3010
873 725 3147 3280
622 1658 2395 3265
246 1438 3499 3385
40 1433 2046 3505
608 3302 2569 3996
644 1310 2344 1347
2597 721 3859 3727
1556 1157 2133 1162
3202 888 3259 3791
930 708 2993 1257
2097 869 2764 3389
2975 2040 3676 2628
1930 600 2126 2062
645 2025 2564 3600
2710 1481 2967 3837
1081 1144 2025 1682
37 187 3532 2257
836 1037 2827 1933
119 2007 1187 3932
1190 473 2349 2343
1013 467 3291 3518
2230 533 3977 933
3163 1079 3295 3566
1006 1477 1156 2634
1694 785 3548 2975
3001 2758 3482 3617
53 156 1344 3520
2365 1940 3264 3741
49 1790 2070 2353
1616 559 2512 2887
588 2561 1375 2595
381 1701 3901 3887
2011 695 3837 906
2817 1759 3468 2959
765 626 3527 3399
1157 32 2028 2635
50 1085 3520 3517
920 1196 1559 2420
825 1144 2500 3409
10 368 3386 1847
381 749 1318 3071
3086 277 3609 3400
317 2746 1986 3368
2347 2905 3496 3777
57 555 2098 1322
1338 145 1591 3237
1403 596 1482 2786
854 525 1013 2150
87 944 2179 1891
1152 3593 2170 3869
74 549 1822 3057
1292 192 1818 390
613 80 2574 2618
1921 1183 2515 3891
481 223 1204 2429
822 2626 1868 3367
1933 844 3782 2905
20 174 3014 2031
146 2134 822 3283
1419 656 3265 1950
592 191 961 969
438 960 2017 1830
1384 438 3054 1347
340 1833 3128 3075
3151 1911 3258 3805
1749 325 1845 1119
669 2444 1250 2770
129 1652 3879 3115
1708 2359 3531 3486
1857 880 2913 1287
2480 928 3424 3769
1960 3425 2321 3716
104 1632 2079 1802
1325 214 3301 618
1918 657 3142 833
3 330 295 1030
1516 377 1704 2405
1395 155 2829 1152
1824 675 3581 3655
1551 2302 3463 2311
111 2670 3421 2843
109 848 3293 1388
457 424 2249 2606
760 1267 2239 1981
1254 403 3318 2299
1910 104 2628 3457
15 1174 3899 1905
1633 2319 3989 3877
1250 2144 1586 2721
670 598 1911 1408
248 988 1503 3465
1046 602 2486 3430
3840 103 3948 2840
394 886 3318 2641
535 2106 977 3025
1407 1441 2426 3557
197 932 478 1563
103 40 3333 183
519 1238 3775 2756
282 194 2914 3405
1497 1085 2594 1607
496 1162 3181 3664
1673 673 3164 1724
1454 28 2645 2888
3460 1543 3692 3226
121 256 3749 1804
238 2546 3169 2693
555 1738 3279 3332
1282 46 2333 174
683 1276 991 3118
533 2254 3279 2267
2430 373 2618 3866
2982 229 3357 1917
274 642 1574 3917
1031 1975 1219 2728
555 2969 2192 3575
685 1476 3870 3025
849 3158 3485 3592
157 493 2994 1795
861 1632 1761 3511
1188 1247 1936 2229
259 792 2254 1619
505 519 2909 1384
2252 875 2559 3927
2826 20 3876 1342
602 2622 3659 3730
1846 819 3707 3431
1246 655 3471 1258
233 894 3959 1627
20 1237 635 2730
182 2605 3664 3847
1419 220 3900 1915
1398 1404 1826 1915
74 3432 645 3956
2742 790 3657 2622
847 303 1669 904
643 1806 1084 2386
668 964 815 3519
1654 2594 2205 3822
364 5 3058 3887
413 454 869 2436
460 252 3246 3631
1335 2085 3685 3325
2421 3271 3203 3411
1501 1667 2181 2673
1943 179 2740 3563
36 79 3464 983
1239 539 3061 1471
559 1264 2450 2357
449 4 3862 848
2523 1984 3924 2660
2575 288 3420 2028
240 468 1436 2779
390 3353 3564 3798
3171 23 3783 1622
696 786 3003 1253
938 2472 1661 3560
2792 227 3004 3967
1181 2432 3043 2927
736 735 2900 3922
535 1186 1668 3448
2919 131 3307 841
718 253 3398 1581
1473 859 2848 1210
2164 464 3955 3057
367 329 1979 1062
2305 718 3697 2687
3310 2577 3894 3806
209 538 3520 701
680 751 1544 2260
947 667 3684 1870
997 3317 3823 3765
2107 284 3447 3295
1334 12 2377 3037
662 1209 1550 1823
3 264 3876 2516
1258 412 2035 1564
2777 347 3141 1823
2171 1673 3129 1966
1159 2476 3129 2777
2196 2861 2988 3921
1167 1841 1263 3632
71 1446 3344 3608
573 53 1110 2974
1972 2412 2480 3459
2819 1481 3690 3803
899 70 1745 526
1996 1427 2236 1986
2999 2460 3386 3123
173 1698 2544 3282
2343 1748 2790 3765
2170 864 3417 1546
1190 568 2457 3306
590 111 1312 3557
196 2671 2726 3711
663 750 2383 3407
1516 1691 2228 1969
1187 2159 2346 3461
229 285 1364 2457
580 1418 1878 2471
61 31 1728 1071
2562 1958 2807 2327
475 604 3062 1730
1456 1360 1541 2272
1364 699 2334 2284
386 799 3880 823
219 2887 2647 3826
1392 2190 2847 2713
444 1569 2814 2875
727 2074 3604 3292
132 720 3123 2431
477 644 2267 3294
195 1210 1335 2162
388 2421 1072 3313
205 2590 2482 3507
583 629 975 3847
928 838 3443 848
375 424 2162 684
592 1262 3650 1301
2218 1732 3856 3427
1862 2373 3932 2766
1073 2930 1369 3467
3348 55 3509 1782
1404 2826 3315 3133
249 2484 395 2688
1819 2973 2987 3928
577 1466 3749 2991
1767 922 2308 3575
711 1492 3424 3304
1944 1610 2632 3777
1076 2848 2249 3967
2042 2179 2667 2763
416 2186 2195 3679
1522 40 1820 3807
1080 2810 3802 2932
369 1810 2975 1883
1419 2681 3880 2788
1861 1865 2356 3493
809 1045 3628 3961
1052 513 2144 2418
185 794 248 3315
1679 2315 2609 3376
579 415 1215 1458
