4000 4000 4000
38 2501 2396 2767
798 1961 2593 3274
359 135 3131 2777
1012 636 1040 1424
2267 2611 3564 2714
3241 400 3355 3129
2325 2396 3219 2869
3147 1064 3284 1878
2735 208 3389 1859
275 782 665 3611
1550 1461 1615 2233
760 2160 3534 3953
2021 2145 3411 3164
2756 1063 2939 3624
128 98 539 3984
1189 1686 3977 3243
3374 1262 3589 2363
56 181 2560 2680
980 58 2224 2238
2940 1048 3066 2838
2180 516 3181 2508
614 2862 3620 3324
3258 210 3880 2995
617 2029 3521 2750
592 46 3413 1420
1552 827 2419 2238
2588 487 3408 1986
2881 1822 3262 2080
1593 657 1962 3017
795 892 2260 2227
416 144 1377 3172
3409 787 3856 1429
455 1643 913 3613
749 151 2025 2528
578 1278 1625 2898
907 13 3651 239
942 786 1334 3612
3553 87 3582 3709
3017 2617 3287 3238
1765 724 1820 861
1336 1743 3622 2562
844 2957 1404 3715
1888 128 3113 1508
1946 830 3654 3930
857 349 1579 2681
268 3071 1241 3481
162 846 2107 1059
414 331 2157 2404
2045 71 2059 2752
694 1072 2774 1730
2296 459 2820 3169
220 287 268 3927
304 926 968 1306
783 3204 2379 3336
1795 1898 2891 2192
258 1099 1603 3202
2756 214 2920 2335
526 745 2914 1909
3189 264 3841 2336
347 2255 466 3156
45 673 2394 1645
1019 1167 3150 3172
308 2893 2784 3839
3173 1347 3391 2368
1223 1643 3666 3077
1571 996 3123 3596
1000 210 1094 838
147 38 3863 1585
1429 717 2307 1864
2225 1183 3220 3680
1881 673 3121 2532
1056 557 1387 2485
920 1825 3122 2010
2153 1347 2783 1760
8 168 1395 2556
64 1858 1173 3507
1242 513 1294 2950
2246 237 2606 3818
1434 2705 2063 3747
105 28 653 3434
2529 32 3899 3513
2392 1748 3602 1994
1181 2186 2863 3673
3135 1502 3859 3509
739 2024 2317 3056
1940 491 3974 3429
2890 48 3204 702
2795 1848 3988 3864
103 164 3695 529
47 811 833 2789
2233 2731 2318 3737
1707 3654 2095 3968
313 2208 2220 2565
1087 1905 1708 3761
720 2111 1673 2589
2434 2986 2591 3654
921 1455 1325 1479
1571 1990 1792 2168
10 2155 1368 3804
1540 448 1777 2782
69 2142 3528 2729
288 1012 3124 2474
1002 900 3021 1053
60 2557 2486 2843
1298 834 3771 2538
562 24 3345 3886
1232 612 1717 990
3566 1051 3613 2211
208 146 2583 3458
1120 1063 1508 2983
587 2238 1974 3902
702 768 2961 3985
213 42 2081 2050
2389 795 3473 3794
2347 216 3028 2224
815 1059 1762 3427
2540 1441 2752 3517
1345 796 1986 3983
1463 1311 3412 1328
91 2295 3601 3016
363 1473 487 2728
293 69 2147 553
3464 900 3587 1474
3082 1501 3632 2484
221 685 2330 2907
2649 1020 3584 1115
1783 2465 2912 3184
53 1023 1439 1506
419 1854 564 3499
338 367 2111 3732
3290 191 3978 469
2293 1807 2969 2874
1399 618 2345 989
1136 645 3506 1535
1338 935 2915 2344
2370 810 3974 967
3274 508 3866 1118
864 2654 942 2921
577 33 2121 321
1872 821 3635 3846
2884 1440 3227 2376
1069 840 3589 2868
234 1117 2706 2009
221 3051 1011 3857
3566 1990 3870 3384
99 3433 1057 3792
1156 2067 3354 3342
2513 1374 2943 2960
1416 812 1472 1847
1915 157 2625 1652
2919 32 3933 2783
974 402 1827 2428
2020 1890 2150 2088
22 3081 2612 3132
1625 2432 3053 3622
2880 905 3789 999
1157 2026 3551 2709
2100 271 2140 3497
2746 3397 3676 3634
56 1468 3580 3168
1981 74 3543 1716
544 603 3163 3604
69 1108 3815 1564
865 3245 2226 3979
3139 936 3187 1486
2415 778 3017 863
842 125 1846 2540
212 1358 3205 1794
1381 384 3258 3536
770 285 2431 3923
264 842 1019 1111
1744 1603 3996 3454
492 438 1123 1811
1558 1129 3597 1455
2388 15 2471 3336
1768 131 2541 1069
396 1171 1757 1338
1165 704 2750 1789
339 1612 3197 1844
2041 993 2708 2598
2217 75 2686 2869
1998 76 3274 3856
517 1957 2284 3750
2023 695 3353 1115
137 0 1162 453
2470 2470 3816 3844
1127 1917 1997 2102
154 441 2297 2201
2054 501 2285 950
945 8 1754 2656
2509 1542 3281 1818
1794 195 2086 1761
3594 680 3818 1785
672 586 2892 1651
198 2356 720 2697
3117 2178 3447 2766
1775 2606 3387 3741
1931 699 3584 1202
138 2177 376 3182
530 3460 3750 3880
2289 775 3405 3489
1933 746 3281 2165
221 296 3667 617
1960 20 2016 1659
666 1447 2791 2645
2090 3170 3087 3717
1330 503 2096 3579
1842 1663 3355 1904
45 1836 220 2639
1446 893 3231 1233
207 285 3368 1421
567 797 2673 1758
644 3169 971 3637
1393 2057 2851 3810
2121 529 3794 1692
877 1653 3456 1722
1656 307 3009 3834
828 215 2953 456
506 350 2436 615
594 149 1197 3236
2775 1169 3367 3482
1411 1215 3107 1605
272 1407 3584 2291
28 3210 981 3975
18 169 3053 1722
353 277 906 3305
1799 429 2460 3737
1145 1972 1441 3477
1927 639 1992 1104
1426 1101 2308 2552
2244 1150 2967 2778
849 851 3324 1726
1500 864 3951 1272
38 102 995 3397
386 1186 3315 2894
676 3721 800 3877
1890 2918 2930 3419
1519 574 2873 1162
1562 1884 2144 2833
770 901 3549 3746
81 1311 929 1434
382 1457 3158 1602
1204 1772 3092 1992
2172 2842 3883 3509
771 1463 1944 2993
338 1930 1671 3260
830 1148 3026 3511
534 1120 3834 1311
1807 431 2608 758
648 2427 1508 3022
1264 979 1654 1796
2689 1027 3125 2773
1631 662 2365 3426
34 454 506 904
1709 878 1758 3226
2507 2110 3917 2305
1037 1709 2376 2355
2441 1079 3020 2625
2731 356 3801 1108
306 460 307 2157
2961 931 3243 2467
1134 2611 3324 2867
74 639 494 2589
2554 613 3817 1073
2233 2009 3955 2500
2579 341 3683 418
587 139 3613 3109
2830 279 3146 2466
2322 15 3558 3246
1684 1205 3899 3688
630 1218 3771 2189
208 941 1833 3169
2060 389 3124 3638
1880 478 2862 544
613 320 3931 3127
2292 1079 2691 3288
1950 1501 3771 2429
745 3686 1303 3974
2277 2950 3678 3956
85 840 2391 2505
516 206 1095 912
2463 181 2489 1915
546 503 3627 3791
1334 164 2509 2508
1618 921 3003 1750
684 2921 2578 3534
688 1280 1817 2640
188 967 563 3858
605 673 2348 1800
605 433 1141 3371
1896 2750 3851 2929
1667 932 2947 2364
1744 2609 2633 2648
2164 621 3401 3510
974 587 1223 3368
1114 1512 2878 2493
1695 195 3267 244
904 1263 2839 1917
1358 583 3693 2895
670 1430 3441 2483
3022 918 3408 2881
2453 472 3548 2094
2448 2249 3695 2267
2866 2052 3167 2686
440 1353 1036 3535
2895 627 3664 2296
2791 2279 3347 3996
1040 1239 2402 2008
201 59 1006 407
154 53 2848 1586
2713 76 3114 2269
1017 2626 3589 3854
2257 352 3246 3545
2102 1524 3315 3606
1679 1298 3239 1346
543 3421 2803 3977
995 1155 1094 2154
614 2941 995 3088
1840 2816 2796 3803
2002 1796 2422 2652
1599 115 1607 243
1569 1566 2999 3627
1494 1864 3889 2943
110 3220 2477 3937
1993 105 3420 1360
27 946 418 2574
1441 2490 3497 3981
1690 1713 2261 1842
1319 828 3301 1468
1244 1417 1358 3493
3217 534 3466 3712
606 772 607 2265
3338 796 3434 2190
203 356 1677 549
376 3003 3827 3949
3321 843 3816 2050
2319 2284 2845 2443
2063 3275 3228 3306
14 2552 792 3449
76 2159 3365 3676
1046 907 2915 3738
232 2669 1266 3434
1482 1036 1857 3135
1938 19 3992 1268
2056 1492 2535 2938
229 988 1345 2951
919 752 2750 3983
1250 1208 2548 2983
2459 2350 3901 2990
1143 2802 2237 3604
1891 379 2819 644
142 1792 569 3705
1183 1600 2594 3394
2831 309 3916 1650
488 900 2832 3768
422 1220 689 3551
300 1734 487 2325
103 2152 2880 3770
518 299 2093 3538
2031 474 3817 3595
1315 651 1792 3637
2831 935 2981 2010
116 3935 519 3958
1416 1291 1682 1405
414 279 2918 905
340 1669 3918 2341
140 1583 3139 3645
2896 546 3580 2522
2168 2224 2836 3472
1165 2166 3377 3979
283 446 3117 1847
9 2095 3056 2400
2569 2658 3142 2802
1266 2359 3044 2924
1095 2263 1893 3111
625 554 1099 3247
29 2671 465 2960
1207 3319 2798 3634
1310 422 3811 3203
851 442 2561 2570
147 686 1839 707
1987 2185 2129 2285
1574 1490 1575 3069
1270 322 2764 3253
3286 219 3832 855
1310 420 2119 3439
3667 266 3830 663
929 604 3684 3409
114 2868 1093 3196
260 134 1913 1348
3296 362 3590 3293
464 2483 1585 3425
1397 1667 3657 1807
3033 1792 3336 2894
3290 2358 3353 2509
685 234 813 3083
697 1647 1498 1807
2607 1242 3524 3962
1471 401 3085 463
3179 217 3720 3826
425 278 2326 3182
1532 2819 3207 3161
1408 3633 2262 3821
2508 99 2715 2100
2077 2534 2262 2781
743 78 3132 1317
2297 2002 2647 2166
1686 807 3489 2607
1765 449 1928 3349
281 69 2702 3982
931 2356 2983 3868
3036 3331 3582 3362
1736 2350 3408 3069
489 2585 2932 3328
1217 268 3800 1018
541 244 2007 1018
1390 1420 2178 2515
2288 1363 2606 2017
1318 195 3234 241
939 1177 3001 1716
1970 2683 3613 2979
2542 2603 2777 2878
1247 64 3153 1660
790 1093 2672 2497
2849 565 2887 1175
616 120 776 494
589 2543 2626 3602
2975 430 3525 1100
401 1090 2300 2855
655 228 2509 2205
779 2841 1010 3318
98 1207 3642 3254
719 551 1417 1707
40 988 3725 2978
2496 475 3944 3281
801 1557 3629 3147
1372 3063 3106 3803
944 821 3409 2476
1106 1246 3959 3674
2268 1326 2643 3225
