3983 2571 371
2227 1242 3826 1925
2903 958 2903 1479
2866 265 3050 489
494 396 3415 1390
1327 1608 3514 1616
1087 379 1166 1256
506 925 2873 2145
1668 758 1707 1122
2379 275 2778 2297
2940 773 3192 2259
153 1978 2538 2016
498 1866 993 2300
52 1170 147 1840
290 1095 1489 2483
2311 600 3506 2116
917 89 2376 1876
1684 1735 3789 2327
349 492 3357 811
2051 1009 3252 1339
126 1752 305 2078
2181 1160 2718 1916
415 69 1176 2234
1583 615 3294 1022
786 788 1846 1794
2875 1298 3201 2276
3173 1802 3592 2332
200 92 1026 999
2766 1386 3147 1633
3005 572 3792 1867
840 1185 2833 1652
1457 219 3102 2136
74 418 3975 883
450 161 1028 1924
3311 412 3487 2101
643 761 1784 831
130 88 3648 1735
2543 461 2903 1668
845 2000 2972 2401
2126 964 3952 2121
1741 538 3276 2343
852 1345 3064 2467
1020 1722 3616 2202
2403 418 2679 797
896 1041 1480 1405
1609 2510 3107 2534
106 672 396 1774
773 1073 3222 2066
1332 1639 2395 1953
2168 326 2570 1088
1613 1014 2445 1479
1080 1747 1533 2222
572 1405 2593 2410
2805 1305 3306 1887
3189 848 3982 2349
313 1483 1662 1756
1252 1364 3471 1716
2018 216 2627 1503
465 1620 2580 2353
1927 663 3337 2110
782 154 1522 1465
541 363 1174 512
1290 46 2883 1427
744 149 3498 1348
780 661 2807 2133
679 1548 1696 2181
935 275 935 1444
2004 177 2261 1958
883 219 2956 977
639 454 1331 470
633 2016 3499 2186
232 1857 497 2553
461 728 3510 918
1175 893 3551 2483
116 486 1248 2264
2892 814 3396 1376
271 251 415 621
2509 967 3284 2197
1429 1812 2886 2316
937 733 1878 1677
1600 400 2465 753
737 566 2706 2414
125 205 2333 2225
1399 411 3918 2493
1204 1637 1703 1712
1734 366 3927 475
1988 627 3723 1214
382 655 1269 1235
596 1070 2120 1724
2150 604 3175 935
672 1336 1565 1860
1515 1363 1869 1749
365 1013 1993 1399
809 107 1054 617
2661 1561 2684 2143
2768 332 2837 668
772 161 1090 210
3342 905 3498 1770
63 264 2462 854
2514 233 2950 2507
1126 383 1960 1815
856 70 2375 535
1448 1222 3177 2543
3893 365 3967 1364
1423 730 2015 1019
1097 422 2789 1234
676 2179 2504 2236
2598 2027 3185 2509
1269 668 2750 2168
324 1951 865 2229
336 38 958 2469
893 1907 2485 2185
3060 493 3470 897
2264 50 3916 640
1309 289 3324 2348
1843 99 3153 1950
913 297 3175 2357
4 722 166 1368
138 62 2480 462
1184 267 1709 2124
2053 275 2977 2444
1593 121 3070 1369
760 442 2811 2358
572 1991 2290 2375
1696 358 1899 1493
2390 1901 2710 2346
2071 1652 3293 1827
3136 960 3846 2101
2199 1617 3793 2393
107 2171 1308 2266
1222 209 2711 1997
160 1406 2967 1697
1593 43 3699 2476
1824 1520 3548 1977
1479 1995 2469 2185
424 1613 2375 2002
1823 165 3591 736
1924 121 3092 728
264 464 2460 1598
1343 1011 2831 2528
285 1412 669 1579
69 1117 1205 1519
953 1893 3626 2493
1204 189 2320 1941
1961 64 2379 87
3470 575 3910 783
2061 1930 3931 2146
26 339 1992 1425
1836 704 3034 1457
1360 480 2630 1576
2934 996 2960 1784
13 2051 1500 2383
150 1438 3178 1673
203 1781 1845 2059
439 869 1284 934
1303 981 2189 1443
774 1096 3898 2331
1026 752 3359 1469
2527 1201 2713 1827
2092 1085 2494 2480
3275 1385 3550 2330
2315 260 3582 1289
1295 1327 3533 1473
